Relevance;Url;Title;02/21/2015;02/22/2015;02/25/2015;02/26/2015;02/27/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015;03/27/2015;03/28/2015 A;03/29/2015 A;03/30/2015;03/31/2015;04/01/2015;04/02/2015 A;04/03/2015 A
2;http://www.amazon.com/Autism-The-Musical-Elaine-Hall/dp/B0012XIGZ0;Amazon.com: Autism: The Musical: Elaine Hall, Rosanne ...;0;0;0;0;0;0;17;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.musical-club-of-hartford.org/;The-musical-club-of-hartford.org;0;0;0;0;0;0;3;0;3;7;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.ryanseacrest.com/2014/04/01/high-school-musical-4-the-wedding-to-begin-filming-in-fall/;'High School Musical 4: The Wedding' to Begin Filming in Fall;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.americanmusical.com/Guitars;Guitars|American Musical Supply;0;0;0;0;0;0;0;11;0;0;0;0;6;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.ticketmaster.com/section/arts_theater;Tickets for Arts, Theater, Broadway, Musical, Exhibit ...;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;http://www.imdb.com/genre/musical/;IMDb: Genre: Musical;0;0;0;0;0;0;0;0;44;43;43;43;44;44;43;44;43;43;44;44;44;45;44;44;44;43;43;46;47;46;47;47;46;46;46;46
1;http://www.dnainfo.com/chicago/20150304/ukrainian-village/tony-fitzpatricks-lolla-poster-highlights-citys-boozy-musical-underbelly;Tony Fitzpatrick Lollapalooza Poster Touts City's Boozy ...;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.salon.com/2015/03/04/heres_a_hilarious_musical_tribute_to_the_online_commenters_that_have_ruined_our_lives/;Here's a hilarious musical tribute to the online commenters ...;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.strazcenter.org/Events/1415_Broadway/Motown_The_Musical;Motown The Musical - Straz Center for the Performing Arts;0;0;0;0;0;0;0;0;14;0;0;0;0;11;2;11;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;3
2;http://thehanovertheatre.org/showinfo.php?id=125;Flashdance: The Musical - Hanover Theatre;0;0;0;0;0;0;0;0;7;10;0;1;0;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://mq.oxfordjournals.org/;Musical Quarterly: Oxford Journals | Arts & Humanities;0;0;0;0;0;0;0;0;2;6;0;0;0;7;0;5;2;1;3;4;2;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0
2;http://beautifulonbroadway.com/tickets/;BEAUTIFUL The Carole King Musical on Broadway | Official ...;0;0;0;0;0;0;0;0;0;18;7;0;15;15;12;13;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;https://www.musicalchairs.info/;musicalchairs - Classical Music Jobs, Courses & Competitions;0;0;0;0;0;0;0;0;0;14;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;6;0;0;0;0;0;4;0;0
1;https://www.youtube.com/user/musicalfreedomrecs;Musical Freedom - YouTube;0;0;0;0;0;0;0;0;0;11;0;21;22;10;19;2;0;0;0;16;5;9;16;0;5;0;10;15;14;11;8;0;0;6;0;0
1;http://talk.collegeconfidential.com/musical-theater-major/;Musical Theater Major - College Confidential;0;0;0;0;0;0;0;0;0;5;0;0;3;6;3;6;5;4;5;0;1;1;10;9;0;1;2;4;3;8;0;0;0;0;0;0
2;http://themusicalbox.net/;The Musical Box;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.rollingstone.com/tv/videos/jimmy-fallon-challenges-mullet-wearing-hugh-jackman-to-musical-beers-20150306;Musical Beers - Rolling Stone;0;0;0;0;0;0;0;0;0;0;40;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.buzzfeed.com/nicholaswray/musical-beers;Watch Hugh Jackman, Chris Hemsworth, And Jimmy Fallon ...;0;0;0;0;0;0;0;0;0;0;37;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.youtube.com/watch?v=L2qGaGnKGZI;Musical Beers with Hugh Jackman, Chris Hemsworth and ...;0;0;0;0;0;0;0;0;0;0;28;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;https://www.facebook.com/panicmusical;PANIC The Musical | Facebook;0;0;0;0;0;0;0;0;0;0;25;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.eonline.com/news/632796/jimmy-fallon-plays-musical-beers-with-hugh-jackman-chris-hemsworth-and-snl-cast-members-watch-now;Jimmy Fallon Plays Musical Beers With Hugh Jackman ...;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://digg.com/video/hugh-jackman-chris-hemsworth-fallon-and-play-musical-beers;Hugh Jackman, Chris Hemsworth, Fallon And Play 'Musical ...;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://beautifulonbroadway.com/;BEAUTIFUL The Carole King Musical on Broadway | Official ...;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.mcsweeneys.net/articles/what-a-straight-mans-favorite-musical-says-about-him;What a Straight Man's Favorite Musical Says About Him.;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;18;30;32;32;32;33;27;30;29;29;26;28;23;12;4;0;0;0
1;https://www.facebook.com/heathersthemusical;Heathers - The Musical - Theater | Facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;32;30;0;31;31;32;29;28;0;0;0;0;0;0;0;0;31;30;0;0;0;0;0
2;http://www.pageantmusical.com/;Official Site | Pageant: The Musical;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://baysidethemusical.com/tickets/;Tickets â Bayside! The Musical!;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;9;7;6;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.themusicalbox.net/;The Musical Box;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
